id,daily_term,legal_term,relation_type,domain,priority,raw_data,created_at,updated_at
911,등기부,근저당권,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
912,세입자,임대차,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
913,세입자,대항력,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
914,세입자,임차권등기,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
915,세입자 있는 집,임대차,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
916,세입자 있는 집,대항력,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
917,세입자 있는 집,임차권등기,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
918,부모님 돈,증여,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
919,부모님 돈,증여세,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
920,부모님 돈,취득자금,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
921,부모님,증여,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
922,부모님,증여세,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
923,부모님,특수관계인,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
924,돈을 보태,증여,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
925,돈을 보태,자금 제공,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
926,돈을 보태,취득자금,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
927,자금 출처,취득자금,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
928,자금 출처,자금조달계획,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
929,자금 출처,증여세,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
930,언제 성립,매매의 의의,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
931,언제 성립,재산권 이전,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
